Designator,MidX,MidY,Layer,Rotation
1V8,104,-103,top,0
C1,91.6375,-103.5,top,0
C2,92.9,-100,top,90
C3,88,-103.5,top,180
C4,111.75,-102.9,top,0
C5,112.9,-99.9,top,90
C6,108.25,-102.9,top,180
GND,114.5,-95,top,0
J1,89,-90,top,180
J2,111,-90,top,180
J3,100,-96.5,top,-90
R1,104.5,-95,top,90
R2,107,-95,top,90
U1,100,-103.175,top,0
U2,90,-100,top,0
U3,110,-100,top,0
VCC,86,-97,top,0
